City,Country,Temperature,Humidity,Wind Speed,Latitude,Longitude,Date
Dhaka,BD,29.4,76.0,5.63,23.7104,90.4074,2026-06-28 16:16:09.971848
Dhaka,BD,29.4,76.0,5.63,23.7104,90.4074,2026-06-28 16:10:17.061765
Dhaka,BD,29.4,76.0,5.63,23.7104,90.4074,2026-06-28 16:03:31.123938
Rangpur City,BD,29.2,75.0,5.06,25.75,89.25,2026-06-28 16:03:04.484026
Rangpur City,BD,29.2,75.0,5.06,25.75,89.25,2026-06-28 15:58:36.752460
London,GB,25.87,44.0,4.02,51.5085,-0.1257,2026-06-28 15:58:20.746265
Almaty,Kazakhstan,30.9,26.0,2.2,43.25249,76.9115,2026-06-28 14:57:39.992376
Thakurgaon,Bangladesh,26.7,96.0,5.5,26.03097,88.46989,2026-06-28 14:56:44.095270
London,United Kingdom,25.2,38.0,16.9,51.50853,-0.12574,2026-06-28 14:55:57.384167
Dhaka,Bangladesh,29.5,82.0,12.8,23.7104,90.40744,2026-06-28 14:55:00.282065
Astana,Kazakhstan,27.7,43.0,4.8,51.1801,71.44598,2026-06-28 14:38:13.917569
Tokyo,Japan,20.4,96.0,2.3,35.6895,139.69171,2026-06-28 14:29:40.246438
Almaty,Kazakhstan,31.7,23.0,2.7,43.25249,76.9115,2026-06-28 14:22:56.324748
Stringer,United States,24.1,84.0,5.6,40.23285,-80.6623,2026-06-28 14:18:45.672534
Almaty,Kazakhstan,32.0,22.0,3.5,43.25249,76.9115,2026-06-28 14:05:48.704160
